image,prediction
3,1
14,4
29,8
31,7
33,8
35,1
39,6
76,7
80,3
88,9
92,0
96,7
101,8
106,6
107,3
108,0
119,4
251,1
259,8
263,9
290,3
303,8
304,4
311,9
321,1
333,0
346,7
360,8
367,2
388,8
416,5
439,5
483,3
487,3
500,9
510,2
518,2
568,9
576,1
582,6
621,2
623,0
624,5
668,2
673,7
713,6
733,4
735,6
764,9
765,6
794,2
795,1
799,1
856,6
952,8
958,0
970,3
971,9
993,5
1026,0
1056,0
1068,7
1084,3
1090,7
1112,2
1121,4
1123,5
1147,6
1188,7
1208,6
1224,8
1247,4
1253,7
1261,5
1315,4
1347,5
1373,4
1408,9
1472,1
1494,9
1498,5
1509,3
1512,1
1513,7
1558,5
1562,1
1575,2
1578,6
1593,7
1606,2
1617,3
1631,4
1650,9
1691,6
1731,5
1760,5
1775,5
1794,8
1862,2
1963,3
2018,1
2020,0
2025,0
2029,4
2045,4
2067,7
2124,4
2147,4
2165,1
2189,8
2213,2
2215,7
2232,5
2233,4
2249,0
2254,1
2304,1
2340,1
2344,1
2360,5
2458,0
2498,4
2522,3
2545,3
2592,3
2609,6
2615,6
2627,7
2664,2
2673,2
2678,7
2688,2
2737,6
2750,3
2753,9
2802,7
2855,8
2876,8
2884,6
2894,3
2908,2
2910,4
2922,5
2926,9
2927,8
3006,8
3007,1
3015,3
3032,9
3039,7
3070,6
3079,9
3095,6
3100,7
3122,4
3145,5
3154,1
3160,7
3231,5
3238,8
3305,8
3312,6
3337,4
3350,6
3393,3
3399,8
3400,3
3410,6
3412,5
3434,9
3465,7
3473,4
3482,8
3501,3
3526,0
3541,8
3570,3
3595,8
3662,8
3723,2
3787,4
3790,5
3817,4
3834,9
3837,2
3857,5
3872,0
3898,2
3912,7
3973,2
3992,3
3999,5
4003,7
4049,8
4058,3
4071,7
4081,3
4112,6
4130,0
4140,3
4190,6
4194,4
4202,5
4216,7
4217,9
4269,3
4321,9
4337,5
4367,8
4381,7
4386,7
4398,4
4423,2
4442,7
4513,0
4516,4
4521,5
4575,8
4613,6
4625,3
4630,2
4631,8
4640,6
4684,5
4695,8
4721,6
4731,3
4742,6
4747,2
4751,2
4773,8
4812,0
4813,5
4819,1
4822,9
4827,7
4851,8
4903,0
4908,9
4919,8
4929,3
4942,0
4947,7
4949,4
4955,7
4983,3
4993,1
5019,7
5026,6
5050,6
5100,6
5156,5
5170,4
5183,2
5196,3
5198,9
5202,0
5266,4
5269,8
5272,0
5309,4
5323,3
5359,8
5381,2
5403,6
5414,9
5421,2
5440,2
5459,9
5481,1
5527,3
5537,4
5547,0
5559,1
5572,4
5589,3
5635,2
5653,8
5662,5
5665,9
5674,6
5703,6
5741,3
5766,9
5794,0
5795,9
5853,1
5861,0
5885,8
5903,3
5908,0
5910,3
5938,6
5940,1
5970,2
5998,2
6004,2
6005,1
6033,2
6039,9
6070,5
6077,8
6149,3
6163,7
6176,7
6231,7
6252,0
6261,5
6266,4
6292,1
6328,3
6329,5
6340,4
6363,7
6428,7
6442,8
6472,0
6501,3
6517,4
6550,4
6552,6
6590,7
6595,4
6599,6
6603,2
6621,1
6630,9
6681,9
6687,5
6690,7
6727,8
6743,7
6753,0
6754,9
6765,7
6789,0
6790,7
6826,3
6830,6
6834,9
6843,2
6870,1
6897,1
6951,2
6968,1
6977,0
7016,6
7051,5
7058,2
7093,9
7146,0
7155,8
7169,3
7201,3
7203,2
7204,7
7205,3
7216,6
7228,6
7231,3
7235,9
7376,1
7377,8
7383,2
7388,8
7396,3
7399,6
7414,6
7417,3
7436,2
7438,3
7457,8
7485,7
7487,2
7507,4
7529,1
7539,7
7548,3
7590,4
7601,3
7618,7
7640,9
7642,2
7695,9
7728,3
7742,9
7753,3
7770,4
7772,4
7791,7
7801,9
7807,9
7821,8
7825,2
7841,6
7850,8
7887,4
7907,8
7911,0
7930,0
7932,4
7938,5
7942,4
7952,7
7966,7
7968,8
8000,2
8020,8
8074,9
8076,3
8080,4
8093,2
8109,2
8127,4
8134,5
8142,8
8146,8
8158,9
8174,1
8178,1
8181,0
8187,5
8205,0
8214,4
8243,6
8260,9
8264,4
8284,9
8310,5
8313,2
8328,6
8336,2
8342,2
8361,4
8362,2
8382,6
8403,2
8413,3
8446,0
8447,6
8481,6
8500,9
8517,3
8537,7
8575,4
8629,5
8663,8
8694,5
8706,9
8709,8
8720,9
8731,5
8791,9
8794,7
8819,1
8846,5
8847,6
8849,7
8864,4
8868,9
8894,0
8895,0
8921,1
8944,8
8965,1
9001,7
9049,0
9054,1
9100,1
9123,5
9149,4
9155,4
9187,8
9189,5
9190,1
9202,5
9238,3
9275,0
9317,6
9335,0
9411,4
9412,9
9414,8
9417,9
9420,8
9445,9
9485,7
9643,9
9644,5
9655,3
9696,0
9701,3
9731,0
9733,4
9753,4
9783,8
9896,6
9909,4
9920,4
9930,8
