image,llm1_pred,llm2_pred
18,6,1
30,7,8
33,7,8
60,4,8
71,3,5
73,0,6
109,9,3
115,4,6
144,5,6
155,6,2
169,0,4
229,8,5
234,5,6
277,4,9
287,4,9
311,2,9
375,9,8
417,2,8
433,6,4
434,3,6
462,1,9
508,1,4
517,4,5
544,6,1
573,1,4
584,8,9
593,6,5
620,4,5
671,9,3
697,9,3
747,1,5
757,8,4
771,6,8
791,8,9
798,5,6
816,6,5
859,0,8
881,3,2
890,7,2
901,5,3
902,4,0
915,1,8
922,4,5
995,9,8
1026,5,0
1036,2,7
1056,5,0
1084,2,3
1090,3,7
1134,8,6
1138,4,1
1140,6,3
1175,7,6
1176,1,5
1183,8,5
1241,1,6
1242,3,6
1252,7,5
1260,8,3
1285,8,4
1308,4,6
1368,2,5
1375,4,9
1376,6,8
1408,8,9
1470,2,3
1481,8,7
1490,2,8
1500,4,0
1536,8,3
1569,1,7
1574,4,0
1575,0,2
1578,1,6
1594,9,8
1636,7,9
1664,3,0
1670,5,2
1684,4,7
1691,1,6
1708,8,1
1740,6,4
1745,8,2
1802,8,2
1817,1,9
1820,2,0
1841,0,7
1920,0,3
1957,6,4
1966,2,3
1981,3,5
2002,8,6
2026,7,8
2037,1,9
2098,2,6
2119,8,9
2123,3,4
2133,7,2
2145,4,7
2165,2,1
2178,9,7
2190,1,8
2198,5,4
2202,8,1
2245,9,2
2265,8,3
2305,3,2
2338,5,2
2426,7,5
2446,4,0
2454,1,9
2507,8,1
2522,2,3
2559,1,4
2613,9,2
2713,4,9
2761,8,0
2778,3,9
2792,8,6
2795,9,8
2808,7,5
2813,3,9
2837,9,7
2844,7,1
2861,0,7
2884,9,6
2894,2,3
2904,8,9
2908,9,2
2915,6,5
2916,3,4
2962,1,7
2968,4,0
2977,6,3
2989,0,9
3002,5,1
3015,2,3
3038,9,3
3055,0,3
3098,7,6
3124,3,7
3180,7,2
3187,5,0
3202,4,2
3229,4,8
3235,5,8
3239,2,4
3308,4,7
3312,1,6
3350,9,6
3356,0,8
3360,1,3
3377,3,2
3450,1,3
3465,2,7
3522,2,1
3526,5,0
3541,9,8
3570,6,3
3579,2,6
3591,0,4
3596,4,7
3687,2,9
3742,0,1
3779,0,7
3871,9,8
3878,0,6
3885,8,1
3903,2,4
3910,2,4
3936,4,5
3964,3,1
3992,4,3
3995,2,1
3997,8,3
4045,6,1
4052,2,5
4054,8,4
4058,2,3
4140,4,3
4174,1,3
4214,1,4
4258,6,3
4272,3,9
4327,8,7
4344,4,2
4380,2,6
4386,2,7
4406,3,0
4438,5,7
4448,7,4
4463,9,0
4487,1,3
4544,4,8
4575,9,8
4604,8,1
4607,9,8
4608,4,5
4624,5,6
4639,0,3
4649,5,3
4685,9,0
